metal,conc,Mean_r,SE_r,Mean_OD,SE_OD,Mean_changeOD,trial
CdCo,2,0.12480862160435534,0.006528775815998722,0.6878888888888889,0.0286276112076574,0.6956666666666667,two
CdCo,3,0.06178354860867744,0.010939026834703125,0.1685,0.052738962334768665,0.18866666666666665,two
CdCo,4,0.03501318372641411,0.004023032943926108,0.021666666666666657,0.0029202359113225415,0.041,two
CdCo,5,0.031033765242790185,0.0012557843980498396,0.019611111111111107,0.0012184284555256245,0.03533333333333333,two
CdCu,1,0.11662650455749693,0.007727343766114641,0.8381111111111111,0.01296731408457061,0.8453333333333334,two
CdCu,2,0.09417018076810871,0.004422639312182752,0.8053888888888888,0.05255062227257228,0.8226666666666668,two
CdCu,3,0.04202985270188956,0.013954129847852624,0.062388888888888876,0.023836700098900827,0.08066666666666665,two
CdCu,4,0.01012404163835967,0.002845462364532243,-0.12094444444444448,0.1302079651846648,0.16933333333333334,two
CdCu,5,0.007445469237440012,0.001983461716942805,0.01683333333333333,0.0025837813231629854,0.027999999999999997,two
CdMn,1,0.2050467224753068,0.013516483906701501,0.6865555555555556,0.01790156555675272,0.7476666666666667,two
CdMn,2,0.13077219325567194,0.009503280194995847,0.5487777777777778,0.006260793149769266,0.569,two
CdMn,3,0.08984501715196083,0.009131680139975425,0.4773333333333333,0.022040367006422104,0.48533333333333334,two
CdMn,4,0.061007410712132774,0.004264067038922224,0.3253333333333333,0.0975456208558239,0.338,two
CdMn,5,0.030420068397596364,0.0016668812493710972,0.03183333333333333,0.0019743728493240953,0.04166666666666667,two
CdNi,1,0.17206116616116002,0.02494694961660549,1.0133333333333334,0.02704386012333241,1.0220000000000002,two
CdNi,2,0.13419178372201893,0.004416041744524412,0.6631111111111111,0.021414414782893913,0.6699999999999999,two
CdNi,3,0.06495939529616024,0.002624001457686715,0.3292777777777777,0.07068450595934055,0.3353333333333333,two
CdNi,4,0.038500104089974244,0.004197058893799093,0.023722222222222217,0.0034228715112776384,0.037000000000000005,two
CdNi,5,0.02249513070262665,0.010509300020055125,0.009166666666666665,3.3333333333332904e-4,0.034,two
CdZn,1,0.1420742349766968,0.003778232591202171,0.9671111111111111,0.023751478186617766,0.9730000000000001,two
CdZn,2,0.09928812324163279,0.011905064025662895,0.4663333333333333,0.0487921707441463,0.4766666666666666,two
CdZn,3,0.0499006319228575,0.007681071767508413,0.09211111111111112,0.003600840094021959,0.10633333333333335,two
CdZn,4,0.018971735382677934,9.418217001389982e-4,0.014277777777777787,3.379312516832417e-4,0.038,two
CdZn,5,0.019874193457614094,0.0034427727280315666,-0.0018888888888888798,0.011089423278150011,0.05333333333333333,two
Co,1,0.2673918685663912,7.820891628762539e-4,1.3126666666666666,0.07899999999999996,1.322,two
Co,2,0.20442525481001447,0.0029848342936178436,1.2755,0.03183333333333327,1.2855,two
Co,3,0.13185874501164818,0.004039551615431236,1.1481666666666668,0.007166666666666765,1.1600000000000001,two
Co,4,0.09787030247898619,0.004217701693454146,0.6740833333333334,0.02141666666666658,0.6805,two
Co,5,0.038060781654136726,0.014283067956144533,0.03991666666666667,0.003249999999999989,0.05600000000000001,two
CoCu,1,0.018014595400591322,0.002785017633320948,0.042111111111111106,0.005208018509003541,0.04733333333333333,two
CoCu,2,0.010989342576669022,0.002932850931119658,0.011611111111111119,0.0011152699944380377,0.04533333333333336,two
CoCu,3,0.003987780949898934,4.4594578748877834e-4,0.003055555555555552,0.002618193703988488,0.027666666666666683,two
CoCu,4,0.008613811438203573,0.0014017575734824122,0.005444444444444455,0.0052363874079769624,0.04966666666666667,two
CoCu,5,0.005941769583757879,0.0012323086428261828,0.021888888888888885,0.0012108052620946436,0.03633333333333333,two
CoMn,1,0.21719144962147513,0.010175048149127463,1.2776111111111113,0.02517077474442473,1.2873333333333334,two
CoMn,2,0.11325482036824336,0.006150084436392463,1.0332777777777777,0.031394198174381674,1.0453333333333334,two
CoMn,3,0.08311504528328109,0.008172100602825595,0.6891111111111111,0.022309343112773553,0.6963333333333334,two
CoMn,4,0.03708352474725748,0.001138056206734291,0.1601111111111111,0.022311833210979504,0.17333333333333334,two
CoMn,5,0.02300694710669996,0.0017663681554301609,0.030166666666666675,0.0018282758524338183,0.04666666666666667,two
CoNi,1,0.08043305065134435,0.0049033325810226925,0.4888888888888889,0.028578892323177132,0.516,two
