"","trial","combo","conc","met1_changeOD","combo_changeOD","met2_changeOD","delta_changeOD"
"123","one","MnNi","3",1.126,0.628666666666667,0.944,0.392592592592592
"124","one","MnNi","4",0.7555,0.157,0.574,0.763820985332832
"125","one","MnNi","5",0.4615,0.047,0.083,0.827364554637282
"126","two","MnNi","1",1.383,1.47,1.485,-0.0251046025104602
"127","two","MnNi","2",1.0275,0.865333333333333,1.3785,0.280687170961485
"128","two","MnNi","3",0.978,0.645666666666667,0.9065,0.314760767666048
"129","two","MnNi","4",0.787,0.187333333333333,0.537,0.717019133937563
"130","two","MnNi","5",0.506,0.046,0.058,0.836879432624114
"131","one","MnZn","1",1.4045,1.31866666666667,1.3665,0.0482376999879707
"132","one","MnZn","2",1.008,1.32066666666667,1.238,-0.176016622143069
"133","one","MnZn","3",1.126,1.17233333333333,0.986,-0.110164141414141
"134","one","MnZn","4",0.7555,1.036,0.674,-0.449457852395943
"135","one","MnZn","5",0.4615,0.608333333333333,0.204,-0.828199348860506
"136","two","MnZn","1",1.383,1.35533333333333,1.3315,0.0014121692147111
"137","two","MnZn","2",1.0275,1.243,1.218,-0.107103095079047
"138","two","MnZn","3",0.978,1.15733333333333,0.982,-0.180952380952381
"139","two","MnZn","4",0.787,0.954,0.705,-0.278820375335121
"140","two","MnZn","5",0.506,0.568333333333333,0.2975,-0.414644264675379
"141","one","NiZn","1",1.474,0.664,1.3665,0.532476676641436
"142","one","NiZn","2",1.442,0.173,1.238,0.87089552238806
"143","one","NiZn","3",0.944,0.0906666666666667,0.986,0.906044905008636
"144","one","NiZn","4",0.574,0.0673333333333333,0.674,0.892094017094017
"145","one","NiZn","5",0.083,0.05,0.204,0.651567944250871
"146","two","NiZn","1",1.485,0.551666666666667,1.3315,0.608260843836913
"147","two","NiZn","2",1.3785,0.154666666666667,1.218,0.88086526734707
"148","two","NiZn","3",0.9065,0.043,0.982,0.954461212602595
"149","two","NiZn","4",0.537,0.0426666666666667,0.705,0.931293612453033
"150","two","NiZn","5",0.058,0.0536666666666667,0.2975,0.698077824660103
