"","trial","combo","conc","met1_r","combo_r","met2_r","delta_r"
"92","one","CuMn","2",0.198694246661413,0.230840063682643,0.19475013886272,-0.173431733560645
"93","one","CuMn","3",0.165974362664745,0.209543232239836,0.131579599657594,-0.408438527280228
"94","one","CuMn","4",0.185354965503981,0.151816584790613,0.0886745117889554,-0.108031050457552
"95","one","CuMn","5",0.0235667725445587,0.0831863669947808,0.0534167974963751,-1.16114599389321
"96","two","CuMn","1",0.22007077652153,0.238366677242826,0.270009283653838,0.0272337252100017
"97","two","CuMn","2",0.194206241013739,0.221247061787944,0.19460676478622,-0.138064100159104
"98","two","CuMn","3",0.115277489526333,0.199855786018703,0.13010547147696,-0.628929614359168
"99","two","CuMn","4",0.149214344061233,0.149216224789213,0.0865438507580141,-0.265841256577451
"100","two","CuMn","5",0.00988855650696507,0.0588117932557678,0.0516089932900421,-0.912654843970059
"101","one","CuNi","1",0.248899639301858,0.0120290994165551,0.336363001141038,0.958893328959279
"102","one","CuNi","2",0.198694246661413,0.0277337163863874,0.28955714473089,0.886395750732828
"103","one","CuNi","3",0.165974362664745,0.0243051274180968,0.167071289214338,0.854043268356969
"104","one","CuNi","4",0.185354965503981,0.0129656453203471,0.0781308208908094,0.901583721097424
"105","one","CuNi","5",0.0235667725445587,0.0226850329521078,0.0484294906233362,0.369827489540495
"106","two","CuNi","1",0.22007077652153,0.00842676050050173,0.328164684013088,0.969258608364062
"107","two","CuNi","2",0.194206241013739,0.00747123546733045,0.296481210032562,0.969547884497965
"108","two","CuNi","3",0.115277489526333,0.00886449681436474,0.118609038035622,0.924198311832933
"109","two","CuNi","4",0.149214344061233,0.00958021849258491,0.0901283995491386,0.919945611485254
"110","two","CuNi","5",0.00988855650696507,0.0109209994936243,0.0383029330142115,0.546766468431096
"111","one","CuZn","1",0.248899639301858,0.0181180631497746,0.246538752035619,0.926860479661807
"112","one","CuZn","2",0.198694246661413,0.0301511719147385,0.218026818221695,0.855293267100879
"113","one","CuZn","3",0.165974362664745,0.020131069056184,0.165693979309323,0.87860723193317
"114","one","CuZn","4",0.185354965503981,0.0232352305247948,0.100492484766956,0.837429156686397
"115","one","CuZn","5",0.0235667725445587,0.0242207680504573,0.03945444183584,0.231345562328911
"116","two","CuZn","1",0.22007077652153,0.0198790065667846,0.239054902859137,0.913404945706369
"117","two","CuZn","2",0.194206241013739,0.0192945067367667,0.208513513752506,0.904178990434845
"118","two","CuZn","3",0.115277489526333,0.0126159155233729,0.157958043470185,0.907655381530969
"119","two","CuZn","4",0.149214344061233,0.0165971262585292,0.103813710822243,0.868811968173469
"120","two","CuZn","5",0.00988855650696507,0.0188044542899964,0.0546081163732559,0.416886067133453
"121","one","MnNi","1",0.29510849297032,0.26702429864652,0.336363001141038,0.154279168144268
"122","one","MnNi","2",0.19475013886272,0.166235540640288,0.28955714473089,0.313512118146137
"123","one","MnNi","3",0.131579599657594,0.0751426236530091,0.167071289214338,0.496786204542442
"124","one","MnNi","4",0.0886745117889554,0.0571944150817849,0.0781308208908094,0.314237570670626
"125","one","MnNi","5",0.0534167974963751,0.0230103569087703,0.0484294906233362,0.548135580911429
"126","two","MnNi","1",0.270009283653838,0.242829011857607,0.328164684013088,0.188099031441572
"127","two","MnNi","2",0.19460676478622,0.145055746103573,0.296481210032562,0.409247411700112
"128","two","MnNi","3",0.13010547147696,0.066487365531683,0.118609038035622,0.465351935743665
"129","two","MnNi","4",0.0865438507580141,0.043820351684302,0.0901283995491386,0.503936225319841
"130","two","MnNi","5",0.0516089932900421,0.0227232426578775,0.0383029330142115,0.494544414920348
